id,author,quote,tags,quote_length,born_date,born_location,author_url
1,Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",aliteracy|books|classic|humor,104,"December 16, 1775","Steventon Rectory, Hampshire, The United Kgdom",http://quotes.toscrape.com/author/Jane-Austen
2,Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",books|contentment|friends|friendship|life,76,"November 30, 1835","Florida, Missouri, The United States",http://quotes.toscrape.com/author/Mark-Twain
3,Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,books|library,65,"August 24, 1899","Buenos Aires, Argenta",http://quotes.toscrape.com/author/Jorge-Luis-Borges
4,C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,books|inspirational|reading|tea,79,"November 29, 1898","Belfast, Ireland",http://quotes.toscrape.com/author/C-S-Lewis
5,Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",books|thought,110,"January 12, 1949","Kyoto, Japan",http://quotes.toscrape.com/author/Haruki-Murakami
6,Ernest Hemingway,“There is no friend as loyal as a book.”,books|friends|novelist-quotes,40,"July 21, 1899","Oak Park, Illois, The United States",http://quotes.toscrape.com/author/Ernest-Hemingway
7,J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",authors|books|literature|reading|writing,241,"January 01, 1919","Manhattan, New York, The United States",http://quotes.toscrape.com/author/J-D-Salinger
8,Mark Twain,“′Classic′ - a book which people praise and don't read.”,books|classic|reading,56,"November 30, 1835","Florida, Missouri, The United States",http://quotes.toscrape.com/author/Mark-Twain
9,Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",books|library|reading,203,"December 16, 1775","Steventon Rectory, Hampshire, The United Kgdom",http://quotes.toscrape.com/author/Jane-Austen
10,Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",books|children|difficult|grown-ups|write|writers|writing,139,"November 29, 1918","New York City, New York, The United States",http://quotes.toscrape.com/author/Madeleine-LEngle
11,George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",books|mind,81,"September 20, 1948","Bayonne, New Jersey, The United States",http://quotes.toscrape.com/author/George-R-R-Martin
