book_title,published_date,publisher,author,subjects
Python For Data Analysis,"Oct 04, 2022","O'Reilly Media, Incorporated",Wes McKinney,data_mining|programming_languages_(electronic_computers)|python_(computer_program_language)
Python Programming for Beginners,2019,Independently Published,Jason Wes,
Python for Data Analysis,2019,Independently Published,Clark Wes,
Python for Data Analysis,2012,"O'Reilly Media, Incorporated",Wes Mckinney,
Python for Data Science,2019,Independently Published,Jason Wes,
Python Programming Language for Beginners,2019,Independently Published,Clark Wes,
Python Para Análise de Dados,"Sep 07, 2000",Novatec,Wes McKinney,
Genuine _ use Python for data analysis(Chinese Edition),"Jan 01, 2014",Machinery Industry Press,MAI JIN NI (Wes McKinney),
Python Programming for Beginners,2019,Independently Published,Tony Wes,
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython","Oct 20, 2017","O'Reilly Media, Inc.",Wes McKinney,computers|data_mining|datenanalyse|datenmanagement|exploration_de_données_(informatique)|programming_languages|programming_languages_(electronic_computers)|python|python_(computer_program_language)|python_(langage_de_programmation)|python_3.6
Python for Data Analysis,2019,Independently Published,Tony Wes,
