Date,Name
2023-01-02,New Year's Day
2023-01-16,"Martin Luther King, Jr. Day"
2023-02-20,Washington's Birthday
2023-04-07,Good Friday
2023-04-07,Good Friday
2023-05-29,Memorial Day
2023-06-19,Juneteenth
2023-07-04,Independence Day
2023-09-04,Labour Day
2023-10-09,Columbus Day
2023-11-10,Veterans Day
2023-11-23,Thanksgiving Day
2023-12-25,Christmas Day
