country_code,city_code,city_name,time_zone
US,DBS,Dubois,America/Boise
US,PRZ,Prineville,America/Los_Angeles
US,LEB,Lebanon,America/New_York
US,KZB,Zachar Bay,America/Anchorage
US,AOH,Lima,America/New_York
US,IPL,Imperial,America/Los_Angeles
US,GRD,Greenwood,America/New_York
US,POC,La Verne,America/Los_Angeles
US,GVT,Greenville,America/Chicago
US,JSD,Stratford,America/New_York
US,DDC,Dodge City,America/Chicago
US,AUN,Auburn,America/Los_Angeles
US,FMU,Florence,America/Los_Angeles
US,VPS,Fort Walton Beach,America/Chicago
US,DCR,Decatur,America/Indiana/Indianapolis
US,MDJ,Madras,America/Los_Angeles
US,IML,Imperial,America/Denver
US,IGG,Igiugig,America/Anchorage
US,FMN,Farmington,America/Denver
US,BRG,Whitesburg,America/New_York
US,PLR,Pell City,America/Chicago
US,GQQ,Galion,America/New_York
US,MSL,Muscle Shoals,America/Chicago
US,SNY,Sidney,America/Denver
US,LMA,Lake Minchumina,America/Anchorage
US,WLW,Willows,America/Los_Angeles
US,AVP,Wilkes-Barre,America/New_York
US,WRI,Wrightstown,America/New_York
US,AUW,Wausau,America/Chicago
US,KKH,Kongiganak,America/Nome
US,LHB,Lost Harbor,America/Nome
US,AST,Astoria,America/Los_Angeles
US,LTH,Lathrop Wells,America/Los_Angeles
US,ILI,Iliamna,America/Anchorage
US,RID,Richmond,America/Indiana/Indianapolis
US,EUG,Eugene,America/Los_Angeles
US,WWT,Newtok,America/Anchorage
US,MGW,Morgantown,America/New_York
US,RYY,Kennesaw,America/New_York
US,MSY,New Orleans,America/Chicago
US,BML,Berlin,America/New_York
US,WVL,Waterville,America/New_York
US,HII,Lake Havasu City,America/Phoenix
US,DRA,Mercury,America/Los_Angeles
US,PSC,Pasco,America/Los_Angeles
US,HRO,Harrison,America/Chicago
US,SYR,Syracuse,America/New_York
US,SUW,Superior,America/Chicago
US,OXC,Oxford,America/New_York
US,ODW,Oak Harbor,America/Los_Angeles
US,JBS,Pleasanton,America/Los_Angeles
US,MVM,Kayenta,America/Shiprock
US,WNA,Napakiak,America/Anchorage
US,MFI,Marshfield,America/Chicago
US,RDM,Redmond,America/Los_Angeles
US,OKK,Kokomo,America/Indiana/Indianapolis
US,FRD,Friday Harbor,America/Los_Angeles
US,NIE,Niblack,America/Anchorage
US,MTW,Manitowoc,America/Chicago
US,IRB,Iraan,America/Chicago
US,FLP,Flippin,America/Chicago
US,HWI,Hawk Inlet,America/Juneau
US,FRH,French Lick,America/Indiana/Indianapolis
