author,quote,tags,tag_count,author_url,goodread_url
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change,deep-thoughts,thinking,world",4,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities,choices",2,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational,life,live,miracle,miracles",5,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy,books,classic,humor",4,http://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself,inspirational",2,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"adulthood,success,value",3,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"life,love",2,http://quotes.toscrape.com/author/Andre-Gide,http://goodreads.com/author/show/7617.Andr_Gide
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","edison,failure,inspirational,paraphrased",4,http://quotes.toscrape.com/author/Thomas-A-Edison,http://goodreads.com/author/show/3091287.Thomas_A_Edison
Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,1,http://quotes.toscrape.com/author/Eleanor-Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Steve Martin,"“A day without sunshine is like, you know, night.”","humor,obvious,simile",3,http://quotes.toscrape.com/author/Steve-Martin,http://goodreads.com/author/show/7103.Steve_Martin
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","friends,heartbreak,inspirational,life,love,sisters",6,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
