author,quote,tags,tag_count,author_url,goodread_url
J.K. Rowling,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","courage,friends",2,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”","simplicity,understand",2,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Bob Marley,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",love,1,http://quotes.toscrape.com/author/Bob-Marley,http://goodreads.com/author/show/25241.Bob_Marley
Dr. Seuss,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",fantasy,1,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Douglas Adams,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","life,navigation",2,http://quotes.toscrape.com/author/Douglas-Adams,http://goodreads.com/author/show/4.Douglas_Adams
Elie Wiesel,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",8,http://quotes.toscrape.com/author/Elie-Wiesel,http://goodreads.com/author/show/1049.Elie_Wiesel
Friedrich Nietzsche,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",6,http://quotes.toscrape.com/author/Friedrich-Nietzsche,http://goodreads.com/author/show/1938.Friedrich_Nietzsche
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","books,contentment,friends,friendship,life",5,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
Allen Saunders,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans",5,http://quotes.toscrape.com/author/Allen-Saunders,http://goodreads.com/author/show/276029.Allen_Saunders
Pablo Neruda,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","love,poetry",2,http://quotes.toscrape.com/author/Pablo-Neruda,http://goodreads.com/author/show/4026.Pablo_Neruda
Ralph Waldo Emerson,“For every minute you are angry you lose sixty seconds of happiness.”,happiness,1,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,http://goodreads.com/author/show/12080.Ralph_Waldo_Emerson
Mother Teresa,"“If you judge people, you have no time to love them.”",attributed-no-source,1,http://quotes.toscrape.com/author/Mother-Teresa,http://goodreads.com/author/show/838305.Mother_Teresa
Garrison Keillor,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,"humor,religion",2,http://quotes.toscrape.com/author/Garrison-Keillor,http://goodreads.com/author/show/2014.Garrison_Keillor
Jim Henson,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,humor,1,http://quotes.toscrape.com/author/Jim-Henson,http://goodreads.com/author/show/4427.Jim_Henson
Dr. Seuss,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”","comedy,life,yourself",3,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Albert Einstein,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”","children,fairy-tales",2,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",,0,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,“Logic will get you from A to Z; imagination will get you everywhere.”,imagination,1,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Bob Marley,"“One good thing about music, when it hits you, you feel no pain.”",music,1,http://quotes.toscrape.com/author/Bob-Marley,http://goodreads.com/author/show/25241.Bob_Marley
Dr. Seuss,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”","learning,reading,seuss",3,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
J.K. Rowling,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",dumbledore,1,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Bob Marley,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",friendship,1,http://quotes.toscrape.com/author/Bob-Marley,http://goodreads.com/author/show/25241.Bob_Marley
Mother Teresa,“Not all of us can do great things. But we can do small things with great love.”,"misattributed-to-mother-teresa,paraphrased",2,http://quotes.toscrape.com/author/Mother-Teresa,http://goodreads.com/author/show/838305.Mother_Teresa
J.K. Rowling,"“To the well-organized mind, death is but the next great adventure.”","death,inspirational",2,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Charles M. Schulz,“All you need is love. But a little chocolate now and then doesn't hurt.”,"chocolate,food,humor",3,http://quotes.toscrape.com/author/Charles-M-Schulz,http://goodreads.com/author/show/209672.Charles_M_Schulz
William Nicholson,“We read to know we're not alone.”,"misattributed-to-c-s-lewis,reading",2,http://quotes.toscrape.com/author/William-Nicholson,http://goodreads.com/author/show/46130.William_Nicholson
Albert Einstein,“Any fool can know. The point is to understand.”,"knowledge,learning,understanding,wisdom",4,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jorge Luis Borges,“I have always imagined that Paradise will be a kind of library.”,"books,library",2,http://quotes.toscrape.com/author/Jorge-Luis-Borges,http://goodreads.com/author/show/500.Jorge_Luis_Borges
George Eliot,“It is never too late to be what you might have been.”,inspirational,1,http://quotes.toscrape.com/author/George-Eliot,http://goodreads.com/author/show/173.George_Eliot
George R.R. Martin,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","read,readers,reading,reading-books",4,http://quotes.toscrape.com/author/George-R-R-Martin,http://goodreads.com/author/show/346732.George_R_R_Martin
C.S. Lewis,“You can never get a cup of tea large enough or a book long enough to suit me.”,"books,inspirational,reading,tea",4,http://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
Marilyn Monroe,“You believe lies so you eventually learn to trust no one but yourself.”,,0,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Marilyn Monroe,"“If you can make a woman laugh, you can make her do anything.”","girls,love",2,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","life,simile",2,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Marilyn Monroe,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,love,1,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Marilyn Monroe,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",attributed-no-source,1,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Martin Luther King Jr.,“Only in the darkness can you see the stars.”,"hope,inspirational",2,http://quotes.toscrape.com/author/Martin-Luther-King-Jr,http://goodreads.com/author/show/23924.Martin_Luther_King_Jr_
J.K. Rowling,"“It matters not what someone is born, but what they grow to be.”",dumbledore,1,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
James Baldwin,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love,1,http://quotes.toscrape.com/author/James-Baldwin,http://goodreads.com/author/show/10427.James_Baldwin
Jane Austen,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","friendship,love",2,http://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen
Eleanor Roosevelt,“Do one thing every day that scares you.”,"attributed,fear,inspiration",3,http://quotes.toscrape.com/author/Eleanor-Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Marilyn Monroe,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",attributed-no-source,1,http://quotes.toscrape.com/author/Marilyn-Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",music,1,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Haruki Murakami,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","books,thought",2,http://quotes.toscrape.com/author/Haruki-Murakami,http://goodreads.com/author/show/3354.Haruki_Murakami
Alexandre Dumas fils,“The difference between genius and stupidity is: genius has its limits.”,misattributed-to-einstein,1,http://quotes.toscrape.com/author/Alexandre-Dumas-fils,http://goodreads.com/author/show/3186713.Alexandre_Dumas_fils
Stephenie Meyer,"“He's like a drug for you, Bella.”","drug,romance,simile",3,http://quotes.toscrape.com/author/Stephenie-Meyer,http://goodreads.com/author/show/941441.Stephenie_Meyer
Ernest Hemingway,“There is no friend as loyal as a book.”,"books,friends,novelist-quotes",3,http://quotes.toscrape.com/author/Ernest-Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway
Helen Keller,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",inspirational,1,http://quotes.toscrape.com/author/Helen-Keller,http://goodreads.com/author/show/7275.Helen_Keller
George Bernard Shaw,“Life isn't about finding yourself. Life is about creating yourself.”,"inspirational,life,yourself",3,http://quotes.toscrape.com/author/George-Bernard-Shaw,http://goodreads.com/author/show/5217.George_Bernard_Shaw
Charles Bukowski,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",alcohol,1,http://quotes.toscrape.com/author/Charles-Bukowski,http://goodreads.com/author/show/13275.Charles_Bukowski
Suzanne Collins,“You don’t forget the face of the person who was your last hope.”,the-hunger-games,1,http://quotes.toscrape.com/author/Suzanne-Collins,http://goodreads.com/author/show/153394.Suzanne_Collins
Suzanne Collins,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,1,http://quotes.toscrape.com/author/Suzanne-Collins,http://goodreads.com/author/show/153394.Suzanne_Collins
C.S. Lewis,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love,1,http://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
J.R.R. Tolkien,“Not all those who wander are lost.”,"bilbo,journey,lost,quest,travel,wander",6,http://quotes.toscrape.com/author/J-R-R-Tolkien,http://goodreads.com/author/show/656983.J_R_R_Tolkien
J.K. Rowling,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",live-death-love,1,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Ernest Hemingway,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"good,writing",2,http://quotes.toscrape.com/author/Ernest-Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway
Ralph Waldo Emerson,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"life,regrets",2,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,http://goodreads.com/author/show/12080.Ralph_Waldo_Emerson
Mark Twain,“I have never let my schooling interfere with my education.”,education,1,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
Dr. Seuss,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles,1,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Alfred Tennyson,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,"friendship,love",2,http://quotes.toscrape.com/author/Alfred-Tennyson,http://goodreads.com/author/show/13638502.Alfred_Tennyson
Charles Bukowski,“Some people never go crazy. What truly horrible lives they must lead.”,humor,1,http://quotes.toscrape.com/author/Charles-Bukowski,http://goodreads.com/author/show/13275.Charles_Bukowski
Terry Pratchett,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”","humor,open-mind,thinking",3,http://quotes.toscrape.com/author/Terry-Pratchett,http://goodreads.com/author/show/1654.Terry_Pratchett
Dr. Seuss,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”","humor,philosophy",2,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
J.D. Salinger,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”","authors,books,literature,reading,writing",5,http://quotes.toscrape.com/author/J-D-Salinger,http://goodreads.com/author/show/819789.J_D_Salinger
George Carlin,“The reason I talk to myself is because I’m the only one whose answers I accept.”,"humor,insanity,lies,lying,self-indulgence,truth",6,http://quotes.toscrape.com/author/George-Carlin,http://goodreads.com/author/show/22782.George_Carlin
John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",8,http://quotes.toscrape.com/author/John-Lennon,http://goodreads.com/author/show/19968.John_Lennon
W.C. Fields,“I am free of all prejudice. I hate everyone equally. ”,"humor,sinister",2,http://quotes.toscrape.com/author/W-C-Fields,http://goodreads.com/author/show/82951.W_C_Fields
Ayn Rand,“The question isn't who is going to let me; it's who is going to stop me.”,,0,http://quotes.toscrape.com/author/Ayn-Rand,http://goodreads.com/author/show/432.Ayn_Rand
Mark Twain,“′Classic′ - a book which people praise and don't read.”,"books,classic,reading",3,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
Albert Einstein,“Anyone who has never made a mistake has never tried anything new.”,mistakes,1,http://quotes.toscrape.com/author/Albert-Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”","humor,love,romantic,women",4,http://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen
J.K. Rowling,"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",integrity,1,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Jane Austen,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”","books,library,reading",3,http://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen
Jane Austen,"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”","elizabeth-bennet,jane-austen",2,http://quotes.toscrape.com/author/Jane-Austen,http://goodreads.com/author/show/1265.Jane_Austen
C.S. Lewis,“Some day you will be old enough to start reading fairy tales again.”,"age,fairytales,growing-up",3,http://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
C.S. Lewis,“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,god,1,http://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
Mark Twain,“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,"death,life",2,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
Mark Twain,“A lie can travel half way around the world while the truth is putting on its shoes.”,"misattributed-mark-twain,truth",2,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
C.S. Lewis,"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”","christianity,faith,religion,sun",4,http://quotes.toscrape.com/author/C-S-Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
J.K. Rowling,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",truth,1,http://quotes.toscrape.com/author/J-K-Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Jimi Hendrix,"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”","death,life",2,http://quotes.toscrape.com/author/Jimi-Hendrix,http://goodreads.com/author/show/7268.Jimi_Hendrix
J.M. Barrie,“To die will be an awfully big adventure.”,"adventure,love",2,http://quotes.toscrape.com/author/J-M-Barrie,http://goodreads.com/author/show/5255014.J_M_Barrie
E.E. Cummings,“It takes courage to grow up and become who you really are.”,courage,1,http://quotes.toscrape.com/author/E-E-Cummings,http://goodreads.com/author/show/10547.E_E_Cummings
Khaled Hosseini,“But better to get hurt by the truth than comforted with a lie.”,life,1,http://quotes.toscrape.com/author/Khaled-Hosseini,http://goodreads.com/author/show/569.Khaled_Hosseini
Harper Lee,“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,better-life-empathy,1,http://quotes.toscrape.com/author/Harper-Lee,http://goodreads.com/author/show/1825.Harper_Lee
Madeleine L'Engle,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”","books,children,difficult,grown-ups,write,writers,writing",7,http://quotes.toscrape.com/author/Madeleine-LEngle,http://goodreads.com/author/show/106.Madeleine_L_Engle
Mark Twain,“Never tell the truth to people who are not worthy of it.”,truth,1,http://quotes.toscrape.com/author/Mark-Twain,http://goodreads.com/author/show/1244.Mark_Twain
Dr. Seuss,"“A person's a person, no matter how small.”",inspirational,1,http://quotes.toscrape.com/author/Dr-Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
George R.R. Martin,"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”","books,mind",2,http://quotes.toscrape.com/author/George-R-R-Martin,http://goodreads.com/author/show/346732.George_R_R_Martin
