id,author,quote,tags,quote_length,born_date,born_location,author_url
1,Martin Luther King Jr.,“Only in the darkness can you see the stars.”,hope|inspirational,45,"January 15, 1929","Atlanta, Georgia, The United States",http://quotes.toscrape.com/author/Martin-Luther-King-Jr
2,John Lennon,"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",beatles|connection|dreamers|dreaming|dreams|hope|inspirational|peace,117,"October 09, 1940","Liverpool, England, The United Kgdom",http://quotes.toscrape.com/author/John-Lennon
